hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,customer_type,adr,required_car_parking_spaces,total_of_special_requests,adr_bin,is_international
Resort Hotel,0,34,2016,December,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,48.0,0,1,0-50,True
City Hotel,1,38,2016,May,2,2,1,0,HB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,149.68,0,0,101-150,True
City Hotel,0,160,2017,July,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,7,Transient,78.35,0,1,51-100,True
Resort Hotel,0,32,2016,October,2,2,0,0,BB,FRA,Direct,Direct,0,0,0,F,0,No Deposit,250,Transient,91.85,1,0,51-100,True
Resort Hotel,0,56,2016,March,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,58.0,1,1,51-100,True
City Hotel,1,97,2015,October,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,29,Transient,140.0,0,0,101-150,True
Resort Hotel,0,85,2017,April,1,2,0,0,BB,USA,Direct,Direct,0,0,0,E,2,No Deposit,0,Transient-Party,74.6,0,1,51-100,True
City Hotel,0,278,2017,July,0,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Transient,165.6,0,2,150+,True
City Hotel,1,175,2016,August,0,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,99.45,0,0,51-100,True
City Hotel,1,26,2017,May,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,3,Transient,128.0,0,0,101-150,True
City Hotel,1,360,2015,October,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,1,Contract,62.0,0,0,51-100,True
Resort Hotel,1,378,2016,November,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,248,Transient,46.0,0,0,0-50,True
City Hotel,0,32,2016,January,2,2,0,0,BB,ARG,Corporate,Corporate,0,0,0,A,1,No Deposit,38,Transient-Party,64.0,0,0,51-100,True
Resort Hotel,0,165,2015,December,0,1,0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,0,No Deposit,308,Transient-Party,0.0,0,0,,True
City Hotel,0,4,2015,August,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,No Deposit,1,Transient-Party,62.0,0,0,51-100,True
City Hotel,1,179,2016,July,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1,Transient,65.0,0,0,51-100,True
City Hotel,0,349,2016,October,1,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,58,Transient-Party,123.33,0,0,101-150,True
City Hotel,0,47,2016,February,0,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Transient,90.3,0,0,51-100,True
City Hotel,0,237,2015,September,1,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient-Party,80.75,0,0,51-100,True
City Hotel,0,31,2016,September,0,2,0,0,BB,UGA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,126.0,0,0,101-150,True
City Hotel,0,158,2016,July,1,2,2,0,BB,BEL,Online TA,TA/TO,0,0,0,F,0,No Deposit,9,Transient,168.3,0,1,150+,True
City Hotel,0,25,2016,December,0,1,0,0,BB,EST,Online TA,TA/TO,0,0,0,A,0,No Deposit,8,Transient,79.9,0,1,51-100,True
City Hotel,0,386,2016,October,2,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,6,Transient-Party,115.0,0,1,101-150,True
Resort Hotel,0,10,2016,September,0,2,0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,109.0,0,0,101-150,True
City Hotel,0,76,2016,March,2,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,1,No Deposit,9,Transient,110.15,0,1,101-150,True
City Hotel,0,42,2017,April,1,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Transient,156.67,0,2,150+,True
Resort Hotel,1,210,2016,August,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,240,Transient,192.73,0,2,150+,True
City Hotel,0,4,2016,June,2,1,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,113.0,0,1,101-150,True
City Hotel,0,33,2016,May,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,42,Transient,85.5,0,0,51-100,True
City Hotel,0,7,2016,December,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,78.0,0,1,51-100,True
City Hotel,0,21,2015,December,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,0,No Deposit,0,Transient-Party,65.0,0,0,51-100,True
City Hotel,1,160,2015,December,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,3,Transient-Party,70.0,0,0,51-100,True
Resort Hotel,0,28,2016,May,2,3,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,8,Transient,79.9,0,2,51-100,True
City Hotel,1,274,2015,July,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,No Deposit,1,Transient-Party,62.0,0,0,51-100,True
City Hotel,1,155,2017,July,1,2,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,89.1,0,1,51-100,True
Resort Hotel,1,48,2016,September,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,0,No Deposit,240,Transient,107.0,0,0,101-150,True
Resort Hotel,0,25,2016,January,0,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,G,0,No Deposit,240,Transient,79.0,0,1,51-100,True
Resort Hotel,0,154,2016,July,1,2,0,0,BB,LUX,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,327,Transient,64.8,0,0,51-100,True
City Hotel,1,1,2015,December,0,2,0,1,BB,PRT,Groups,TA/TO,0,0,0,B,2,No Deposit,29,Transient,72.5,0,2,51-100,True
City Hotel,1,364,2015,October,0,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,0,Non Refund,6,Transient-Party,101.5,0,0,101-150,True
City Hotel,0,18,2016,December,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,378,Transient-Party,80.0,0,0,51-100,True
City Hotel,1,21,2017,January,1,2,0,0,BB,KOR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,90.1,0,2,51-100,True
City Hotel,1,15,2017,February,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,19,Transient,95.0,0,0,51-100,True
City Hotel,0,22,2017,March,2,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,85,Transient,68.0,0,1,51-100,True
Resort Hotel,1,80,2017,August,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,40,Contract,135.0,0,1,101-150,True
City Hotel,1,25,2015,December,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,0,Non Refund,19,Transient,90.0,0,0,51-100,True
Resort Hotel,0,164,2015,November,2,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,61.2,1,0,51-100,True
City Hotel,0,69,2016,May,2,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,159.3,0,1,150+,True
Resort Hotel,0,3,2016,May,0,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,89.0,0,0,51-100,True
Resort Hotel,1,206,2016,March,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,42.69,0,1,0-50,True
City Hotel,1,157,2017,May,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,3,Transient,130.0,0,0,101-150,True
City Hotel,0,30,2016,May,2,2,1,0,BB,BRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,133.58,0,0,101-150,True
City Hotel,0,1,2017,May,0,1,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,10,Transient,95.0,0,0,51-100,True
Resort Hotel,0,32,2016,April,2,2,0,0,HB,GBR,Groups,Direct,0,0,0,D,0,No Deposit,273,Transient-Party,38.22,0,0,0-50,True
Resort Hotel,0,53,2016,June,0,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,Transient,129.0,0,1,101-150,True
Resort Hotel,1,246,2015,September,2,2,0,0,BB,Unknown,Offline TA/TO,TA/TO,0,1,0,A,0,No Deposit,96,Transient-Party,58.95,0,0,51-100,False
City Hotel,1,304,2016,November,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,21,Transient,89.0,0,0,51-100,True
City Hotel,0,127,2017,July,0,2,0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,16,Transient,98.1,0,0,51-100,True
Resort Hotel,0,0,2017,January,0,1,0,0,BB,ESP,Direct,Direct,1,0,1,A,0,No Deposit,0,Transient,57.0,0,0,51-100,True
City Hotel,1,113,2016,September,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,6,Transient,118.8,0,0,101-150,True
City Hotel,0,272,2017,July,0,2,2,0,BB,AUT,Online TA,TA/TO,0,0,0,F,3,No Deposit,9,Transient-Party,179.1,0,2,150+,True
City Hotel,1,11,2016,November,0,2,1,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,150.0,0,1,101-150,True
City Hotel,1,98,2015,November,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,No Deposit,37,Transient-Party,70.0,0,0,51-100,True
City Hotel,1,292,2015,August,0,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,1,Transient-Party,62.0,0,0,51-100,True
City Hotel,0,16,2016,December,2,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,118.8,0,1,101-150,True
City Hotel,0,70,2016,April,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,97.33,0,0,51-100,True
Resort Hotel,1,49,2015,July,3,2,0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,15,Transient,111.2,0,0,101-150,True
City Hotel,1,379,2015,October,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,1,Transient,62.0,0,0,51-100,True
Resort Hotel,1,289,2017,July,0,2,1,0,BB,AUS,Online TA,TA/TO,0,0,0,E,0,No Deposit,240,Transient,172.8,0,0,150+,True
Resort Hotel,1,108,2016,April,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,84.0,0,0,51-100,True
Resort Hotel,0,128,2016,December,0,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,0,No Deposit,241,Transient,36.04,0,2,0-50,True
Resort Hotel,0,18,2016,April,2,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,40,Contract,33.3,0,0,0-50,True
Resort Hotel,1,46,2017,August,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,261,Transient,212.0,0,0,150+,True
City Hotel,0,4,2015,August,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Contract,90.0,0,2,51-100,True
City Hotel,1,332,2017,April,1,2,1,0,BB,BEL,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,125.1,0,0,101-150,True
City Hotel,0,28,2017,February,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,28,Transient,75.0,0,0,51-100,True
Resort Hotel,0,1,2015,October,0,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,1,No Deposit,240,Transient,66.0,0,1,51-100,True
City Hotel,0,53,2015,October,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Contract,94.5,0,0,51-100,True
Resort Hotel,1,260,2015,December,4,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,240,Transient,47.54,0,1,0-50,True
Resort Hotel,0,166,2016,August,2,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,171,Transient-Party,100.8,0,0,101-150,True
City Hotel,0,76,2017,July,2,2,0,0,BB,DEU,Direct,Direct,0,0,0,A,0,No Deposit,14,Transient,108.0,0,0,101-150,True
City Hotel,0,1,2015,August,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,F,0,No Deposit,9,Transient,153.0,0,2,150+,True
City Hotel,0,172,2017,April,0,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,153.0,0,2,150+,True
City Hotel,0,2,2016,March,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,220,Transient-Party,85.0,0,0,51-100,True
Resort Hotel,0,4,2017,June,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,3,A,0,No Deposit,146,Transient,108.0,0,2,101-150,True
City Hotel,0,175,2017,August,1,2,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,42,Transient,86.85,0,2,51-100,True
City Hotel,1,97,2015,October,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,29,Transient,140.0,0,0,101-150,True
Resort Hotel,0,2,2015,October,0,1,0,0,BB,PRT,Groups,Corporate,0,0,1,A,0,No Deposit,0,Transient,48.0,0,0,0-50,True
Resort Hotel,0,8,2015,July,0,3,2,0,BB,ESP,Online TA,TA/TO,0,0,0,H,2,No Deposit,240,Transient,193.0,0,1,150+,True
Resort Hotel,1,468,2016,May,0,2,0,0,HB,PRT,Groups,TA/TO,0,1,0,A,0,No Deposit,249,Transient-Party,67.0,0,0,51-100,True
Resort Hotel,0,36,2016,June,0,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,F,0,No Deposit,241,Transient,153.03,1,1,150+,True
City Hotel,1,262,2015,November,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,0,Non Refund,1,Transient,62.8,0,0,51-100,True
City Hotel,1,91,2016,March,0,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,29,Transient,75.0,0,0,51-100,True
City Hotel,0,50,2016,April,0,2,1,0,HB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,164.25,0,2,150+,True
City Hotel,0,32,2016,October,2,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,118.0,0,2,101-150,True
City Hotel,1,19,2015,October,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,1,1,0,A,0,Non Refund,82,Transient,80.0,0,0,51-100,True
City Hotel,0,61,2016,April,1,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,85,Transient,89.75,0,1,51-100,True
City Hotel,0,297,2017,July,2,2,1,0,BB,DEU,Direct,Direct,0,0,0,A,1,No Deposit,14,Transient,102.1,0,0,101-150,True
City Hotel,0,131,2017,June,0,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,144.0,0,1,101-150,True
Resort Hotel,0,228,2016,September,6,2,0,0,HB,DEU,Direct,Direct,0,0,1,D,0,No Deposit,0,Transient,88.0,0,1,51-100,True
City Hotel,1,330,2016,June,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1,Transient,62.0,0,0,51-100,True
City Hotel,1,53,2016,May,0,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,126.9,0,0,101-150,True
City Hotel,0,144,2016,June,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient-Party,85.5,0,1,51-100,True
Resort Hotel,0,36,2015,December,2,2,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,6,Transient,55.4,1,0,51-100,True
City Hotel,1,313,2017,April,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,6,Transient,90.0,0,0,51-100,True
Resort Hotel,1,32,2016,April,2,2,0,0,HB,PRT,Groups,Direct,0,0,0,D,0,No Deposit,273,Transient-Party,69.36,0,0,51-100,True
City Hotel,1,524,2016,December,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1,Transient,62.8,0,0,51-100,True
City Hotel,1,56,2017,March,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,86,Transient,85.0,0,0,51-100,True
City Hotel,1,138,2016,August,0,3,0,0,BB,ARE,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Transient,142.2,0,0,101-150,True
City Hotel,0,156,2016,August,2,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,103.5,1,0,101-150,True
City Hotel,0,164,2015,October,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,19,Transient-Party,100.0,0,0,51-100,True
Resort Hotel,0,8,2015,November,0,1,0,0,BB,Unknown,Corporate,Corporate,0,0,7,A,0,No Deposit,0,Transient,35.0,0,1,0-50,False
Resort Hotel,0,2,2016,November,0,2,0,0,HB,DEU,Direct,TA/TO,0,0,0,A,0,No Deposit,0,Transient,73.8,0,2,51-100,True
City Hotel,1,391,2016,July,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1,Transient,65.0,0,0,51-100,True
City Hotel,0,66,2016,November,0,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,28,Transient,75.0,0,0,51-100,True
City Hotel,0,256,2016,August,0,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient-Party,90.95,0,0,51-100,True
City Hotel,1,94,2016,August,0,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,117.9,0,0,101-150,True
Resort Hotel,0,94,2017,February,1,3,0,0,HB,JAM,Groups,TA/TO,0,0,0,A,1,No Deposit,152,Transient-Party,88.0,0,0,51-100,True
City Hotel,1,97,2015,October,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,29,Transient,140.0,0,0,101-150,True
City Hotel,0,56,2016,March,1,2,0,0,BB,ESP,Groups,Corporate,0,0,0,A,0,No Deposit,0,Transient-Party,72.0,0,0,51-100,True
City Hotel,1,191,2017,April,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,83,Transient,88.4,0,0,51-100,True
Resort Hotel,1,9,2016,July,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,0,No Deposit,242,Transient,169.0,0,1,150+,True
City Hotel,0,81,2016,October,2,2,0,0,BB,IRL,Direct,Direct,0,0,0,A,0,No Deposit,14,Transient,79.8,0,0,51-100,True
City Hotel,1,150,2016,January,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,19,Transient-Party,80.0,0,0,51-100,True
Resort Hotel,0,210,2017,August,2,3,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,261,Transient,187.24,0,0,150+,True
City Hotel,0,448,2017,June,2,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,0,No Deposit,229,Transient-Party,112.67,0,1,101-150,True
City Hotel,0,152,2016,July,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,3,No Deposit,9,Transient,134.3,0,3,101-150,True
City Hotel,0,14,2015,September,2,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,15,Transient,113.0,1,3,101-150,True
City Hotel,1,135,2017,April,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,3,Transient,90.0,0,0,51-100,True
City Hotel,0,36,2016,September,0,2,0,0,BB,DEU,Groups,TA/TO,0,0,0,A,0,No Deposit,21,Transient-Party,87.0,0,0,51-100,True
City Hotel,0,70,2016,January,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,27,Transient,52.0,0,0,51-100,True
Resort Hotel,0,236,2016,May,0,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,0,No Deposit,315,Transient-Party,54.0,1,0,51-100,True
City Hotel,0,1,2017,February,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,117.0,0,1,101-150,True
City Hotel,1,316,2017,May,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,9,Transient,123.3,0,1,101-150,True
City Hotel,0,200,2015,October,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,0,No Deposit,8,Transient,89.25,0,1,51-100,True
City Hotel,1,277,2016,November,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,100.0,0,0,51-100,True
City Hotel,0,2,2015,August,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,0,No Deposit,0,Transient,67.5,0,2,51-100,True
Resort Hotel,0,242,2017,May,4,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,75,Transient,84.15,0,1,51-100,True
City Hotel,0,4,2016,February,2,1,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,7,Transient,76.22,1,1,51-100,True
City Hotel,1,56,2016,June,0,2,0,0,BB,PRT,Offline TA/TO,Corporate,0,0,0,A,0,No Deposit,191,Transient-Party,120.0,0,0,101-150,True
City Hotel,1,253,2016,September,1,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,1,No Deposit,9,Transient,2.0,0,0,0-50,True
City Hotel,1,357,2017,May,0,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,109.8,0,1,101-150,True
City Hotel,1,118,2017,June,0,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,160.0,0,0,150+,True
Resort Hotel,0,170,2017,July,5,2,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,6,Transient,163.8,0,0,150+,True
Resort Hotel,0,207,2016,October,1,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,243,Transient,70.0,0,0,51-100,True
City Hotel,1,87,2017,April,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1,Transient,95.0,0,0,51-100,True
City Hotel,1,37,2017,March,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,378,Transient,110.0,0,0,101-150,True
City Hotel,0,110,2017,April,1,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,99.0,0,1,51-100,True
Resort Hotel,0,0,2015,November,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,1,No Deposit,240,Transient,44.1,0,1,0-50,True
City Hotel,1,74,2015,September,0,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,6,Transient-Party,101.5,0,0,101-150,True
Resort Hotel,0,143,2017,March,2,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,177,Transient,52.4,0,0,51-100,True
City Hotel,0,2,2015,December,0,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,94.0,1,0,51-100,True
City Hotel,1,344,2016,June,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1,Transient,62.0,0,0,51-100,True
City Hotel,1,43,2016,November,4,1,0,0,BB,AGO,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,74.8,0,1,51-100,True
City Hotel,0,100,2017,August,2,2,0,0,SC,NOR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient-Party,125.0,0,0,101-150,True
City Hotel,1,92,2015,July,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,76.5,0,2,51-100,True
City Hotel,1,215,2017,April,2,2,0,0,SC,CN,Online TA,TA/TO,0,0,0,A,0,No Deposit,9,Transient,110.0,0,1,101-150,True
